	sampleID	day_of_diet	mouse	day	days_post_cr	B_theta	B_ovatus	B_uniformis	B_caccae	B_intestihominis	E_rectale	C_symbiosum	B_formatexigens	R_intestinalis	F_prausnitzii	E_coli	D_piger	C_aerofaciens	A_muciniphila	C_rodentium
427	6_Jul_10	FR	10	57	0	14.3959154226095	25.994783284311	8.56873300405128	3.52960763638382	1.55391531161552	0.299683667240135	0.760308563183307	8.31344691714301	0	3.32981852489039	6.6207891669904	1.89244686164604	1.15433708862867	23.586214551307	0
428	6_Jul_11	FR	11	57	0	16.1964842642472	25.9852565920045	10.9689537850865	4.41947831017862	1.90317550326056	9.31032038559682	1.50269350722994	3.55826481428976	3.71420470654948	0	4.00481996030621	1.36092996881202	0.460731499858236	16.6146867025801	0
429	6_Jul_12	FR	12	57	0	16.0726294552791	26.9502353732347	8.9946200403497	4.70746469401479	1.49630127774042	0.184936112979153	0.756556825823806	3.48016139878951	3.81640887693342	2.55548083389375	3.1102891728312	1.78211163416274	0.35305985205111	25.7397444519166	0
430	6_Jul_13	FR	13	57	0	12.518573551263	25.8246656760773	8.29123328380386	4.07875185735513	1.85735512630015	0.163447251114413	1.12184249628529	5	6.2555720653789	4.39821693907875	4.14561664190193	1.60475482912333	1.18127786032689	23.5586924219911	0
431	6_Jul_14	FR	14	57	0	23.338485316847	33.2302936630603	10.8964451313756	5.84750128799588	0.850077279752705	0.0772797527047913	0.334878928387429	1.31375579598145	3.78670788253478	0	3.14270994332818	1.13343637300361	0	16.0484286450283	0
432	7_Jul_02	FF	2	58	1	6.43248800548321	5.43180260452365	15.2056202878684	14.3043180260452	2.37834132967786	0	4.21178889650445	0.774503084304318	0.582590815627142	2.03221384509938	6.20630568882796	5.43180260452365	3.53324194653873	32.6182316655243	0.856751199451679
433	7_Jul_06	FF	6	58	1	6.97264815582263	2.35184417737257	12.277248238707	17.8201409034397	2.36220472440945	0	4.69332780770825	0.621632822213013	0.160588479071695	2.16535433070866	5.97285536676337	5.66203895565686	2.49689183588893	36.080605055947	0.362619146290924
434	7_Jul_07	FF	7	58	1	10.5278194414685	2.01414184701093	7.87086636668809	11.7813013356189	5.58888650810656	0	4.21398471537747	0.953503321191344	0.417827298050139	0	5.40318548675095	9.53860438540104	1.74630383544033	39.6971644882508	0.246410970644954
435	7_Jul_10	FR	10	58	1	12.4384941068772	22.9602929396956	6.94587481405195	3.12392722279437	1.76221535644811	13.4168669184117	1.57340656825724	5.34386085364458	0.017164435290079	3.0209406110539	5.9560590456574	1.86520196818858	0.863943242933974	20.5286646069344	0.183087309760842
436	7_Jul_11	FR	11	58	1	17.2632123013309	23.0133092130766	8.29564543222638	5.05233234267993	2.45509755782401	6.8484300297196	2.4421759917302	0.749450833441013	5.09109704096136	3.01072489985786	2.58431321876211	2.933195503295	0.0775293965628634	19.8604470861868	0.323039152345264
437	7_Jul_12	FR	12	58	1	16.1708156243675	19.5557579437361	7.01781015988666	4.56891317547055	2.37300141671726	10.4280510018215	2.21109087229306	7.66039263307023	3.39506172839506	2.10483707751467	2.01882210078931	1.82655332928557	0.672940700263105	19.7024893746205	0.293462861768873
438	7_Jul_13	FR	13	58	1	10.2946788212847	23.1630273478906	7.02141191435234	4.04494382022472	2.11999152003392	5.38053847784609	1.37375450498198	3.95590417638329	4.64278142887428	2.95102819588722	4.3375026499894	2.48887004451982	1.30591477634089	26.5465338138647	0.37311850752597
439	7_Jul_14	FR	14	58	1	17.7300129180422	22.9761733888331	6.73173532366872	4.41366441797043	1.74393569685661	8.54026123152002	1.74752404191187	4.6074350509545	4.9160327257069	0.00358834505526051	1.58604851442515	1.95923640017224	0.717669011052103	21.7848428304866	0.541840103344338
440	8_Jul_02	FF	2	59	2	6.8575624082232	3.34801762114537	11.7180616740088	16.3950073421439	3.14977973568282	0	2.91850220264317	0.440528634361234	0.282672540381791	1.33994126284875	4.62187958883994	4.08590308370044	1.56020558002937	41.5124816446402	1.76945668135095
441	8_Jul_06	FF	6	59	2	8.26514957811301	2.61122475070314	9.25914088468422	19.4483508054206	3.35911531577602	0.00639222705190488	3.76182562004602	0.735106110969062	0.265277422654053	2.48338020966505	4.43300946049604	5.77218102787011	2.29480951163385	36.9023267706469	0.402710304270008
442	8_Jul_07	FF	7	59	2	6.0459251393682	1.03862490045129	8.58109901778604	19.740509689408	2.47876294133263	0	3.9719936288824	0.557472790018582	0.321874170427396	0.0165914520838864	2.01752057340058	3.50743297053358	0.623838598354128	41.9431908680648	9.15516325988851
443	8_Jul_10	FR	10	59	2	10.2418354692021	23.1914014055395	6.30425795783382	3.44150475403059	2.53203803224473	9.3633732947499	1.66907813145928	6.49028524183547	0.010334849111203	2.92992972302604	6.23191401405539	2.47002893757751	1.33319553534518	23.5066143034312	0.284208350558082
444	8_Jul_11	FR	11	59	2	13.9542847358959	23.1743857546443	11.0178923037411	4.31469908398254	2.61963872956083	0.239705504665696	2.91927061039295	3.59558256998545	5.73581029021488	0.00856091088091773	7.35382244670833	3.16753702593956	0.505093741974146	20.9485489256057	0.445167365807722
445	8_Jul_12	FR	12	59	2	13.7817020477175	18.3355250798422	7.39432650760849	3.34022167950404	1.98008641743378	9.81777193312042	1.42400901747135	6.81946270899868	3.90381363892542	2.28442607552132	4.12173586323502	1.90118354311478	1.06706744317114	23.6445613375916	0.184106706744317
446	8_Jul_13	FR	13	59	2	13.5572235549021	18.9429698986303	8.68219453687224	4.3256209858392	1.76429621604891	0.301787510639944	1.81846320513813	5.8964636694266	7.01849415770332	4.2482395728546	1.28453145554438	2.65418246537182	1.34643658593206	27.7180221310841	0.441074054012226
447	8_Jul_14	FR	14	59	2	13.2950896561677	16.6396074611249	6.76119349135909	4.15990186528124	1.59108128585345	13.2409712450842	2.18277591369917	5.98549626582964	5.09434642998882	0.0180394703611502	2.93321788072302	2.18277591369917	0.88393404769636	24.7068586066313	0.324710466500704
448	9_Jul_04	FF	4	60	3	8.47933230204698	0.938950246429471	6.85325754577832	14.6058927222362	3.23056444940101	0.00359751052271828	3.2089793862647	0.482066410044249	0.107925315681548	1.81314530345001	2.91398352340181	2.01820340324495	0.579199194157643	49.048458466741	5.71644422059935
