group_ID	day	N	avg.B_theta	sd.B_theta	med.B_theta	lq.B_theta	hq.B_theta	avg.B_intestihominis	sd.B_intestihominis	med.B_intestihominis	lq.B_intestihominis	hq.B_intestihominis	avg.R_intestinalis	sd.R_intestinalis	med.R_intestinalis	lq.R_intestinalis	hq.R_intestinalis	avg.C_aerofaciens	sd.C_aerofaciens	med.C_aerofaciens	lq.C_aerofaciens	hq.C_aerofaciens	avg.B_caccae	sd.B_caccae	med.B_caccae	lq.B_caccae	hq.B_caccae	avg.B_formatexigens	sd.B_formatexigens	med.B_formatexigens	lq.B_formatexigens	hq.B_formatexigens	avg.D_piger	sd.D_piger	med.D_piger	lq.D_piger	hq.D_piger	avg.B_ovatus	sd.B_ovatus	med.B_ovatus	lq.B_ovatus	hq.B_ovatus	avg.F_prausnitzii	sd.F_prausnitzii	med.F_prausnitzii	lq.F_prausnitzii	hq.F_prausnitzii	avg.A_muciniphila	sd.A_muciniphila	med.A_muciniphila	lq.A_muciniphila	hq.A_muciniphila	avg.B_uniformis	sd.B_uniformis	med.B_uniformis	lq.B_uniformis	hq.B_uniformis	avg.C_symbiosum	sd.C_symbiosum	med.C_symbiosum	lq.C_symbiosum	hq.C_symbiosum	avg.E_coli	sd.E_coli	med.E_coli	lq.E_coli	hq.E_coli	avg.E_rectale	sd.E_rectale	med.E_rectale	lq.E_rectale	hq.E_rectale
1_FR_FF	8	3	-0.7410424186354	0.96917910152656	-0.2657321495932	-1.0609255310782	-0.183504171671499	-0.158269084316909	0.566319723400578	-0.292656523974289	-0.468981913258328	0.0852500247958206	-1.40249923607388	2.43350250983144	0	-2.10623221558891	0.00248336147809675	-0.920151359957177	0.808962280034718	-0.62462845200703	-1.2299761283292	-0.462565137610085	-1.24343073772085	0.545155656046673	-0.973234982585681	-1.4220729745252	-0.929690623348915	2.82035194197103	1.21488946423621	2.21144543764423	2.12088655125968	3.21536408051897	-0.104487208781407	0.897360638613094	0.0554475733256499	-0.507806954713305	0.37879992820402	-0.105953256898234	7.17608150507227	-3.5207870341539	-4.2288484683121	2.3095250658878	-1.05051612563432	1.81543198675098	-0.00475375546681879	-1.57577418845148	-0.0023768777334094	2.8127983246874	2.87134167926009	2.0701521521326	1.22794410934015	4.02632945375725	-1.08823903384993	1.54505315315429	-1.51002921989508	-1.94431282312272	-0.44306033759971	-0.695608834855066	0.709619070198367	-0.589161573532629	-1.02079986211065	-0.317194176938261	-2.99345275541834	4.40320861496483	-1.86530947131155	-4.85814209465286	-0.564691774130436	4.8704997854831	7.04920152323125	4.2230060118409	1.1951947583162	8.2220579258289
1_pre_FF	8	3	3.89673859163367	1.57403832251225	4.2108370439924	3.200085279598	4.7504411298487	-0.951775853513617	1.08311126255636	-1.48303964657455	-1.57485935468066	-0.59432424887704	2.90746238747323	3.70757838345581	1.63040018285617	0.818806294096674	4.35758737854125	0.294818967416893	0.115150463129792	0.28257948541702	0.23442831227794	0.34908988155591	0.68147981234214	0.303848756336142	0.71514070620168	0.538671463822155	0.841118607791895	1.91643684381549	2.85758425100462	1.78119554534916	0.455035007685421	3.3102180307124	0.0193090623094866	0.454105361112091	0.24135464239218	-0.130869539549275	0.280510454209595	-1.44139952269647	4.22309562192028	-3.473890156519	-3.8689148585015	-0.0301295038027014	-0.113542066356827	0.477799120355429	0.158672917417959	-0.253284044243525	0.162307403417265	-2.38942628920323	0.96154484459152	-2.3938955622262	-2.87131213475655	-1.9097750801614	-0.381217726055383	0.715841458076079	-0.7885266637585	-0.79449462136188	-0.171595299600445	0.037050306344608	0.463193776854946	-0.190046038487793	-0.229407418078287	0.189959858351303	-6.1055940113478	1.70758537530691	-5.8399527533464	-6.88519254069863	-5.19317485299627	1.62965949783777	3.06223987512861	0.0937419530937991	-0.1334528609653	2.62481308426885
4_FR_FF	8	3	1.8447670114049	1.62880874621301	1.6251515874483	0.98102993235455	2.59869637847695	-0.346222388130432	0.529624090563169	-0.348892041954227	-0.611699323703794	-0.0820802794689685	-0.574671371269181	1.00224971690448	-0.00518673072305244	-0.868554130361936	0.00395370809663798	-0.10222833505863	0.887261428409894	0.33626303923532	-0.393550259609855	0.40833927663957	-0.203287786581117	0.756725713794862	-0.61302236070825	-0.639907751643265	0.0284648914174648	-1.15563027465319	3.46111134600319	-1.403740520213	-2.9448754489229	0.509559776836616	0.0379765669162366	0.469945095940694	0.04179134604544	-0.19603647998731	0.273897003384385	-1.7576087183741	3.76238580427635	-3.2391631468715	-3.8964213623721	-0.359573288624798	0	0	0	0	0	-1.77146282501983	1.88791332923851	-1.7252756823543	-2.7036608141212	-0.816171264585698	-0.282888851207966	0.986586725619902	-0.67489436759101	-0.844059239282455	0.0822787786750003	0.161501073849744	0.10438269162655	0.161863616169881	0.109400599713891	0.213782819145665	-1.4139770299832	4.77649843120248	0.79467434209371	-3.05021152295822	1.32658314903028	5.56373292810673	9.14898877548335	4.2314067337518	0.6926816848804	9.7686210741556
4_pre_FF	8	3	2.2410627088425	2.07475856704808	2.7541636887879	1.3560304178577	3.3826454898	-0.829892514046437	0.752778524656685	-1.14457259706846	-1.25942142424193	-0.557703645361959	1.81117626557694	1.57380207137092	2.53432463233299	1.2700483190525	2.71387839547941	-0.90197145436302	0.835618548297172	-0.49265567385058	-1.17799545362873	-0.42128956484109	-0.618886453981693	1.22654041992576	-0.59929927510731	-1.22720121707358	-0.000778101452609814	-0.5467498126438	6.41083280681774	-4.1984931704318	-4.24793578046921	1.32856447628762	0.806217120285973	0.638212666734823	1.06580811560354	0.572461728187925	1.1697680100428	-0.705645127565166	9.43945968458603	-0.4102131300263	-5.34978297090985	4.08620871454895	0.813881497367737	1.39969859872473	0.0115440115440115	0.00577200577200575	1.22082224605161	1.17593468148537	2.86839780350858	1.9800184579812	-0.014338099620451	2.7682493508391	-0.297689948117574	0.297898599925951	-0.229384936534791	-0.426596909053425	-0.134630481390331	0.2263132878754	0.572620589330934	-0.00404814608983806	-0.099649268613306	0.437095127381487	0.273838564835447	2.72879727094399	1.60522347273176	-0.629933097453445	1.84330268107249	-3.44758881555166	13.6962968146234	4.26800847633027	-7.49658032581806	4.45920134065569
FF	8	4	1.5030257561577	1.78695712931778	1.59955612844035	0.96766807562295	2.1349138089751	-0.504043332706487	0.232792176384059	-0.434610406254804	-0.59775426692863	-0.340899472032661	1.27824402834689	1.40078651919653	1.10129652151293	0.17080497087129	2.20873557898853	-0.65076505550666	0.624261056023946	-0.572773831875753	-1.02469189813762	-0.198846989244792	-0.722338943187155	0.976394443095139	-0.463681613620675	-1.08756316845783	-0.0984573883499973	-0.911249598813425	3.76365327973209	-1.84856451089906	-3.59785531372951	0.838041204017016	0.514369748138545	0.318253466998187	0.43043628855325	0.292597384391452	0.652208652300342	-3.39210807771313	3.52025675899564	-3.15673224375755	-6.08577341927645	-0.463066902194226	0.182776576130625	0.36555315226125	0	0	0.182776576130625	0.266464581508825	4.90234670915726	0.26417390741205	-3.23669279575395	3.76733128467483	-1.33340741918282	0.999636041691857	-1.19219652812748	-1.72169422724412	-0.803909720066178	0.24911931458361	0.636135685483583	0.311428805990199	0.049853863755785	0.510694256818024	2.25734364173192	2.3667336339944	2.27988717980701	0.250650074531202	4.28658074700772	1.26256878051154	12.2869805138951	-0.698132576572015	-8.29111291845483	8.85554912239435
FR	8	4	-0.814162468772876	3.36127354734027	-1.7168643629852	-2.89184298377275	0.360816152014674	-0.0527589401281632	0.517188778233179	-0.26762705675511	-0.330717653218953	0.01033165633568	-0.53112549508841	0.915062214393861	-0.221768242480006	-0.794693587652113	0.0417998500836975	0.239646595693608	0.228729442478676	0.305650487471485	0.147742719856774	0.397554363308319	-1.06999924931063	0.736083850388702	-1.14688821798335	-1.61526008981711	-0.601627377476868	0.866222617628065	2.2094522766105	0.751999657816535	-0.365335534942685	1.98355781038729	0.433164350035145	0.118092832086088	0.47069786854245	0.385627313310448	0.518234905267147	-3.5872244728703	1.08914841509328	-3.25754837203965	-4.02622239230413	-2.81855045260582	-0.572826660315497	1.14565332063099	0	-0.572826660315497	0	2.7026800770905	2.27623305845969	3.20566155925465	2.24246653296875	3.6658751033764	-0.267621984082865	0.43921251076237	-0.192953917852025	-0.388228201013315	-0.0723477009215752	0.196170643641709	0.263409655058549	0.196370536132361	0.107347746153649	0.285193433620421	3.21128471729024	5.89167826259548	5.66032440498506	2.8290605068192	6.0425486154561	-0.753449730810525	3.79683407345075	-0.406807083026401	-3.6279980846509	2.46774127081397
pre	8	3	0.968777904328233	3.18759087406999	1.1447323223641	-0.579206764535701	2.6047397822101	-0.281674153247874	0.278179553710342	-0.221242503217363	-0.403172312950111	-0.129960168530382	0.789123502895571	1.4907472333673	0	-0.0705942352302488	1.2542794895736	0.575328977178949	0.292188823103324	0.654135440713327	0.452977377395484	0.737083808729604	-0.960355182780867	0.816734231573177	-0.61826194257068	-1.25538540584662	-0.494278339610015	1.95834220847423	3.23682177791648	1.89267495834035	0.32376431919428	3.56008647268724	0.354336029471177	0.409941038675148	0.36814702764153	0.1529055211343	0.56267203689323	1.4103115521031	3.15583380575968	1.4302677848857	-0.162592630794849	2.99319385139235	1.06795177936028	1.8459779437493	0.00435331504941013	0.00217665752470506	1.60192766904042	0.0819536254562336	2.9773195225894	0.223796740036001	-1.3699777716318	1.60480657983415	-0.0739881620831199	0.927836752266455	-0.34514560785826	-0.59059159097491	0.3070365439211	0.10518605585602	0.161472800007274	0.15425639569834	0.0395634272897896	0.19534385434341	-1.65647199879496	5.41350861646973	1.33301255217356	-3.28624789743029	1.46804617532462	-4.338822138217	3.72612656509585	-4.7487317106418	-6.29588842012975	-2.58671064251665
1_FR_FF	13	3	-1.00280384364403	1.89364317043439	-0.7169696696913	-1.8700423460236	0.00735174571189923	0.246410786188559	0.367659669315895	0.450251907015849	0.13611798073779	0.458624152052973	1.74180143686563	3.01239577190214	0.00518914431010326	0.00259457215505163	2.61270215529844	0.159776006265149	0.587194368984301	0.1105828473746	-0.145345716521531	0.440301149606555	-0.348205367484653	0.361501248996368	-0.49044457682145	-0.553698361486465	-0.21383197815124	-1.41482326509823	1.93588419913945	-2.38881216730595	-2.52954905512964	-0.787091926170675	0.52719063607724	1.48422636885344	0.78206489731474	-0.142951692655785	1.32477009542901	-3.13954875862957	3.39699313309285	-3.1001976249965	-4.82812206816165	-1.43129988228095	0.00332834082210018	0.00576485540878308	0	0	0.00499251123315027	-2.42420621631923	2.26058921695536	-2.392971260869	-3.54661116200745	-1.2861837929059	1.69979797793069	1.5667626572399	1.33838923491365	0.841854915720335	2.37703666863253	0.322231073505196	0.27283753916184	0.326601977800389	0.186918159874636	0.459729439283352	1.31398407515719	2.2415862261585	1.54617017170504	0.255755989069265	2.48830520951905	2.31506711836396	7.82616313857498	4.3140873643768	-1.00132011352327	6.63096447325761
1_pre_FF	13	3	-4.29650244989133	0.737337503851511	-4.3074506550771	-4.66787777144345	-3.9306012309321	-0.222511014947033	0.505991400835523	-0.00209076095284	-0.401707296643805	0.066895393746835	-0.10591376001593	3.47281483023371	0.66351701178246	-1.61769991814291	1.79058778401025	-0.0329341216873267	0.425683219077001	0.04168773363298	-0.22465325651116	0.19609594079666	-1.92756924389085	0.440357666247149	-1.95777077602405	-2.15490973976777	-1.71532951408053	0.879565819024946	1.83391675948932	0.83356344452357	-0.0486767662331307	1.78480721703233	-0.495738599515327	0.414908989932649	-0.71146359503592	-0.73490383195253	-0.36443586483842	-1.31144793101163	1.62308379698897	-1.9263211967085	-2.2317902038833	-0.6985422909884	0.41340341579322	1.51328348949091	-0.15689631126025	-0.444380503881695	0.986037471941401	0.575020483304299	1.33175381258737	-0.155387687653	-0.193552152807701	0.978389033937649	2.61363086482364	0.851660666601321	2.24662463217268	2.12681421394442	2.91694439937738	-0.344939657312027	0.414560095129545	-0.162206079167938	-0.490839405326316	-0.107673120225694	3.65620640437212	2.65542568198791	2.91398824023584	2.18242442804367	4.75887929863243	0.599729790953233	3.7115621460166	-1.4517478570119	-1.5425009344572	1.7162216923811
4_FR_FF	13	3	-1.05922634626787	1.46806703793716	-1.2315453022768	-1.83253729196555	-0.37207487857465	-0.388114847498738	0.342710382122544	-0.45202218118968	-0.573197635532751	-0.234985726310195	1.50974371501738	2.60742681790452	0.0088008800880088	0.0043473356906591	2.26466867687941	0.274192063303329	0.58781828632616	0.44369409954677	0.0319704305472789	0.6011647141811	-1.39102983596321	0.715137598132022	-1.07186724330515	-1.64102063582446	-0.981457739772935	-0.932783526550557	1.95827854729311	-1.95201244738509	-2.06162367576013	-0.313557837758245	-0.156652851562233	0.56108052223416	-0.17425206810878	-0.441489392376355	0.119384080978615	-1.59643231547233	0.941693523167319	-1.4415915596855	-2.0237706612395	-1.09167359181175	0.00137632987874534	0.00238387327796204	0	0	0.002064494818118	0.777885535325365	2.87026275869892	-0.780370844916803	-0.878296704051952	1.6549395845816	0.939848617612116	1.26560677187167	0.53803236553267	0.23098098725482	1.44780812192969	0.28092349090112	0.357188365360662	0.261666005937861	0.0977097150202604	0.454508524300349	1.96190287542069	1.06877382511095	1.74591283654535	1.38176643049266	2.43404430091105	-0.221632904143833	4.24601633300917	-0.6601095505412	-2.4457530927649	1.78324896127855
