	sampleID	mouse	day_of_diet	day	experiment	cage	sex
518	26_Jun_10	10	FR	47	exp2	c9	male
519	26_Jun_11	11	FR	47	exp2	c10	male
520	26_Jun_12	12	FR	47	exp2	c10	male
521	26_Jun_13	13	FR	47	exp2	c10	male
522	26_Jun_14	14	FR	47	exp2	c11	male
523	28_Jun_01	1	FF	49	exp2	c5	male
524	28_Jun_02	2	FF	49	exp2	c5	male
525	28_Jun_03	3	FF	49	exp2	c5	male
526	28_Jun_04	4	FF	49	exp2	c6	male
527	28_Jun_05	5	FF	49	exp2	c6	male
528	28_Jun_06	6	FF	49	exp2	c6	male
529	28_Jun_07	7	FF	49	exp2	c6	male
530	28_Jun_08	8	FR	49	exp2	c7	male
531	28_Jun_09	9	FR	49	exp2	c8	male
532	28_Jun_10	10	FR	49	exp2	c9	male
5331	28_Jun_11	11	FR	49	exp2	c10	male
5341	28_Jun_12	12	FR	49	exp2	c10	male
5351	28_Jun_13	13	FR	49	exp2	c10	male
5361	28_Jun_14	14	FR	49	exp2	c11	male
5371	29_Jun_01	1	FF	50	exp2	c5	male
5381	29_Jun_02	2	FF	50	exp2	c5	male
5391	29_Jun_03	3	FF	50	exp2	c5	male
5401	29_Jun_04	4	FF	50	exp2	c6	male
541	29_Jun_05	5	FF	50	exp2	c6	male
542	29_Jun_06	6	FF	50	exp2	c6	male
543	29_Jun_07	7	FF	50	exp2	c6	male
544	29_Jun_08	8	FR	50	exp2	c7	male
545	29_Jun_09	9	FR	50	exp2	c8	male
546	29_Jun_10	10	FR	50	exp2	c9	male
547	29_Jun_11	11	FR	50	exp2	c10	male
548	29_Jun_12	12	FR	50	exp2	c10	male
549	29_Jun_13	13	FR	50	exp2	c10	male
550	29_Jun_14	14	FR	50	exp2	c11	male
551	30_Jun_02	2	FF	51	exp2	c5	male
552	30_Jun_04	4	FF	51	exp2	c6	male
553	30_Jun_05	5	FF	51	exp2	c6	male
554	30_Jun_06	6	FF	51	exp2	c6	male
555	30_Jun_07	7	FF	51	exp2	c6	male
5561	30_Jun_10	10	FR	51	exp2	c9	male
5571	30_Jun_11	11	FR	51	exp2	c10	male
5581	30_Jun_12	12	FR	51	exp2	c10	male
5591	30_Jun_13	13	FR	51	exp2	c10	male
5601	30_Jun_14	14	FR	51	exp2	c11	male
5611	1_Jul_02	2	FF	52	exp2	c5	male
5621	1_Jul_04	4	FF	52	exp2	c6	male
5631	1_Jul_05	5	FF	52	exp2	c6	male
564	1_Jul_06	6	FF	52	exp2	c6	male
565	1_Jul_07	7	FF	52	exp2	c6	male
566	1_Jul_10	10	FR	52	exp2	c9	male
567	1_Jul_11	11	FR	52	exp2	c10	male
568	1_Jul_12	12	FR	52	exp2	c10	male
569	1_Jul_13	13	FR	52	exp2	c10	male
570	1_Jul_14	14	FR	52	exp2	c11	male
