	group_ID	day	N	avg.B_theta	sd.B_theta	med.B_theta	lq.B_theta	hq.B_theta	avg.B_intestihominis	sd.B_intestihominis	med.B_intestihominis	lq.B_intestihominis	hq.B_intestihominis	avg.R_intestinalis	sd.R_intestinalis	med.R_intestinalis	lq.R_intestinalis	hq.R_intestinalis	avg.C_aerofaciens	sd.C_aerofaciens	med.C_aerofaciens	lq.C_aerofaciens	hq.C_aerofaciens	avg.B_caccae	sd.B_caccae	med.B_caccae	lq.B_caccae	hq.B_caccae	avg.B_formatexigens	sd.B_formatexigens	med.B_formatexigens	lq.B_formatexigens	hq.B_formatexigens	avg.D_piger	sd.D_piger	med.D_piger	lq.D_piger	hq.D_piger	avg.B_ovatus	sd.B_ovatus	med.B_ovatus	lq.B_ovatus	hq.B_ovatus	avg.F_prausnitzii	sd.F_prausnitzii	med.F_prausnitzii	lq.F_prausnitzii	hq.F_prausnitzii	avg.A_muciniphila	sd.A_muciniphila	med.A_muciniphila	lq.A_muciniphila	hq.A_muciniphila	avg.B_uniformis	sd.B_uniformis	med.B_uniformis	lq.B_uniformis	hq.B_uniformis	avg.C_symbiosum	sd.C_symbiosum	med.C_symbiosum	lq.C_symbiosum	hq.C_symbiosum	avg.E_coli	sd.E_coli	med.E_coli	lq.E_coli	hq.E_coli	avg.E_rectale	sd.E_rectale	med.E_rectale	lq.E_rectale	hq.E_rectale
1	1_FR_FF	6	3	0.986093471330081	0.0240868142132135	1	0.979140206995121	1	0.381222388174352	0.106015488071659	0.384248761763771	0.328987438594914	0.434970524548499	0.206603262222686	0.357847347179168	0	0	0.309904893334029	0.331263399588057	0.0889600675615703	0.350945768057086	0.292528101784405	0.379839881626224	0.335499745075256	0.0951880042094484	0.310383885440041	0.282885989400047	0.375555570932857	0.654609382541427	0.141988096125675	0.666159860569505	0.58667935014515	0.728314653951744	0.414952055439352	0.229436462931833	0.282745770910316	0.282486936096926	0.48131403251726	0.888664880290297	0.192838084003969	1	0.832997320435445	1	0.333841090302112	0.576911041509843	0.00152327090633744	0.00076163545316872	0.500761635453169	0.451875659924051	0.107061960629805	0.456395228602108	0.399510357126818	0.506500747060312	0.334259181066642	0.184502022502973	0.396054200583264	0.261422846632974	0.437993025258621	0.345154477930952	0.210655983930382	0.356693639827315	0.242829858924801	0.453248677885284	0.782568471550893	0.202015395704084	0.747016003648276	0.673852707326339	0.873508001824138	0.433824817753893	0.37935202431668	0.59824933299084	0.29912466649542	0.65073722663084
2	1_FR_FF	8	3	0.937898420099992	0.0522158494571005	0.95157796919019	0.915891218534832	0.966745396210252	0.323455869872829	0.1695395407003	0.25119655844303	0.226607160740976	0.384174923289783	0.000254442506736751	0.000440707349273239	0	0	0.000381663760105126	0.189006314358142	0.0435095653058912	0.180226075191097	0.165391270770666	0.208231238362096	0.250916004804573	0.0471293428022466	0.242348764299188	0.225503361294118	0.272045028062335	0.877652736924843	0.211911675813167	1	0.816479105387265	1	0.365829573724732	0.0647723685343822	0.387709303035916	0.340330094492467	0.40226891761259	0.893379071293635	0.0973699485812366	0.870969902351112	0.840068606940453	0.935484951175556	0	0	0	0	0	0.5218548896733	0.0785705272220931	0.487092004014967	0.476877173055591	0.549451163461844	0.255355516367817	0.0870576005665373	0.297921192397923	0.226562977184218	0.305430893566469	0.184029976717953	0.052691536730181	0.21389561621572	0.168543005980652	0.214449767204137	0.569740896717714	0.106030295221466	0.577504615654719	0.518773374844609	0.624590278059321	0.742667352910742	0.252745539248988	0.733228707221501	0.614001029366113	0.86661435361075
3	1_FR_FF	13	3	0.870024592437573	0.116211241598301	0.833930620598676	0.80503688865636	0.916965310299338	0.399769513992835	0.0790125705459854	0.420896575928186	0.366618800553342	0.443483758400004	0.267937722046994	0.463420681161884	0.000763515628530919	0.00038175781426546	0.401906583070491	0.223936609673689	0.143269305446379	0.200055192796774	0.147081926563916	0.288850584345004	0.228480518595212	0.0398298732901582	0.246737516449216	0.214766158098371	0.251323378019054	0.748600413222277	0.0569505449903172	0.773664262698645	0.72854045128773	0.781192299895007	0.515911392067866	0.329615774953487	0.444191291711893	0.336125930321739	0.659836803636005	0.766663935754059	0.100063716074378	0.73098298837618	0.710157199326523	0.805330198492655	0.00114624588037925	0.00198535610278337	0	0	0.00171936882056887	0.459221270489931	0.0286751759458634	0.461887360992949	0.445596758455814	0.474178827775556	0.344280487588398	0.0375770293508779	0.337184102049362	0.323970856958251	0.361041925449026	0.257926292242969	0.115103593485176	0.293549677791957	0.211386065652228	0.322278211608205	0.675834622132118	0.184842181614772	0.571874055467564	0.569127718671733	0.730561242260227	0.849382619848827	0.25403223108478	0.992060576215652	0.774073929773241	0.996030288107826
4	1_FR_FF	15	3	0.792466981790796	0.0767456063803054	0.773670767174865	0.750268212018673	0.825267644254954	0.590257169294321	0.138621249090641	0.53132667128764	0.511082229496405	0.639966860088896	0.267639859617734	0.239832737951319	0.339844682909809	0.169922341454905	0.401459789426602	0.291157730022221	0.116459580433575	0.271821727751797	0.228699031761454	0.343948427147777	0.217251055997142	0.0470482963560394	0.244337053566069	0.203630744889949	0.244414365888798	0.709826972174195	0.079004671078641	0.754696756191628	0.686650505512516	0.75543833084459	0.390577658924081	0.181874066660522	0.31727121943797	0.2870339724613	0.457468125643807	0.763850022927588	0.0548605303489069	0.748285882878131	0.733369535360902	0.786548440469545	0.0998142953031723	0.169367589050913	0.00407388869871499	0.00203694434935749	0.149721442954759	0.519876077443526	0.0340252993508807	0.527665345946371	0.50514843978624	0.538498349352234	0.387219670974396	0.101941555640066	0.409881422624712	0.342867825560556	0.442902392213394	0.187724899083601	0.0320507422213497	0.171546449855907	0.169267242230333	0.198093331323021	0.568879773963347	0.0410316204097574	0.581401774296959	0.552223956146594	0.591796591946906	0.85368843306322	0.2466290099724	0.992123203720823	0.78053264959483	0.996061601860411
5	1_FR_FF	16	3	0.58542270393221	0.0931381402955503	0.635630606239951	0.556791891578064	0.639157467440228	0.765597529605867	0.368126352350593	0.955493384430505	0.648396294408801	0.977746692215252	0.300794511877949	0.273326552347642	0.368430663206557	0.184215331603278	0.451191767816924	0.281232414170839	0.0953907918353089	0.269047532523351	0.230783531224583	0.325588856293351	0.548878037535114	0.0644419803694483	0.543229324556828	0.515337842446972	0.579593876134114	0.484504517290946	0.051553105859504	0.459587527940897	0.454865440527216	0.501685099379651	0.494853514568169	0.106594712969587	0.545548571928395	0.458960466158928	0.556094091657523	0.541932434692256	0.0576549844581024	0.539904783748493	0.512611403426497	0.570239640486134	0.0385068176975653	0.0666957646899756	0	0	0.057760226546348	0.771549998772052	0.107989379443871	0.816111682071864	0.732261265433001	0.83311957376101	0.49741786641696	0.0766952954672762	0.456135475629071	0.453170909112229	0.521023628327747	0.19312898899752	0.134645105627888	0.133432051278639	0.116042645550758	0.240366863584841	0.521058245937475	0.14511456444602	0.599904287870193	0.476746883421983	0.604792629419326	0.472073621522294	0.225248279727386	0.579074477994058	0.396171631504281	0.601476039776189
6	1_FR_FF	17	3	0.679931544987154	0.113293966995098	0.660820998252647	0.619114606893451	0.731193209713603	0.68622285636373	0.188549396173139	0.731577159145566	0.605354985414126	0.789767878704252	0.448161488899783	0.385891670271128	0.626340328892621	0.315857671254456	0.669554726541528	0.286398505673748	0.110596606258272	0.326521250976742	0.243931017512519	0.348927366486474	0.401207606912256	0.0629928617908839	0.427358117202575	0.378354701377761	0.437135767591911	0.520730320645965	0.0800281562160741	0.47771270884785	0.474561868246626	0.545389967146247	0.291436741124154	0.0822632822630421	0.31717639085707	0.258278881387424	0.337464425727342	0.64941656412606	0.133428967948418	0.723270972554685	0.609330114451592	0.72643021801484	0.171059573844459	0.296283873019684	0	0	0.256589360766689	0.570080733633141	0.0118663324664095	0.571638966223331	0.564575616649702	0.576364966911676	0.476711820546398	0.171732924367735	0.532336001334215	0.408198723252579	0.573037008234126	0.221619832134838	0.0634236096778809	0.210949695143959	0.187578880010597	0.250325715763638	0.709067055880885	0.196780182517219	0.600917151434249	0.595499037679095	0.768560121859357	0.745516799308283	0.19862567119975	0.813829532008991	0.667789675178472	0.857400289788448
7	1_FR_FF	18	3	0.529805721140816	0.081730221531645	0.498425120541297	0.483420745676329	0.560500396305544	0.593031051832171	0.135612499597631	0.660702687167852	0.548801265747632	0.671096655584549	0.417584774627914	0.4047723259892	0.444558975596494	0.222279487798247	0.626377161941872	0.609732152464002	0.261954576487085	0.659223325525009	0.492892748177791	0.751317143280716	0.610728622262987	0.13087113463248	0.606089707796109	0.544164164775911	0.674973622516624	0.396690639947866	0.0395361402601546	0.382949857670579	0.374404054751538	0.41210683400555	0.494698926196549	0.138843589004011	0.559834461307238	0.447548663497545	0.574416956450898	0.519483839319375	0.095042153742327	0.573220057409373	0.491483231006821	0.574352556676928	0.230251417468242	0.21081065164822	0.276971392424076	0.138485696212038	0.345377126202363	0.794315331028975	0.0328269026943075	0.778885617229934	0.775465833929748	0.805449971228682	0.577709635271477	0.215444725913511	0.66067327701362	0.496894889124515	0.700006202289511	0.266357741532804	0.0331638812827278	0.27842698230254	0.253638207281652	0.285111896168823	0.376614367600121	0.0682610658251198	0.373109682866489	0.341641418723397	0.40983497411003	0.421088249750552	0.130162246334258	0.4743867329685	0.373561280321546	0.495264460788532
8	1_FR_FF	19	3	0.681880955245678	0.117711216436778	0.741631565937707	0.643954799726139	0.749682416111231	0.600805998726024	0.163509219380834	0.650610683859356	0.534398301093732	0.692116038924982	0.36265501353639	0.323931959132892	0.455716473102514	0.22904735038833	0.542793406467512	0.286343173458297	0.0485388001750711	0.310551241106969	0.270506310671098	0.314284070069832	0.464214318540305	0.0528105157252481	0.454365833556361	0.435693580299132	0.487810814289506	0.469385435288825	0.13808008556056	0.427767496659219	0.39233436329085	0.525627537971996	0.412814442347248	0.133988169613352	0.343817186507269	0.335601882120789	0.455528374653717	0.588305587965069	0.040188501384803	0.609128019716454	0.575553360596805	0.611469031209025	0.521630605306023	0.463876282413056	0.677054546399316	0.338527273199658	0.782445907959034	0.552863994772236	0.0808589079487106	0.536402141772557	0.508952430766335	0.588544632278297	0.527482549622227	0.195161337431702	0.462793941405598	0.417836489974323	0.604784305161816	0.336753890027154	0.0992251751672007	0.388699328128252	0.305519527649893	0.393960971454964	0.693816495637921	0.268213368666909	0.581062782254881	0.540724743456881	0.790531391127441	0.712352411379693	0.171802739493028	0.636067669139605	0.613984851575113	0.772577600064228
9	1_FR_FF	20	3	0.485940484940303	0.167759959429506	0.544020583713799	0.420439527099977	0.580481492167377	0.496397386890943	0.0914831240711458	0.471061167282466	0.445656916428176	0.534469747549472	0.502255660124507	0.400773837060608	0.579816279077785	0.324093333694549	0.719198296031105	0.182596615844259	0.0366655227804575	0.180545579582792	0.163772620484919	0.200395093072865	0.787938418211369	0.0743854909634392	0.790357123897668	0.751365098240675	0.825721091025213	0.277028184967828	0.0717046451059758	0.261661941658289	0.23795714410352	0.308416104177367	0.41134955087418	0.181900786108005	0.353136620068377	0.309408766138759	0.4841838702067	0.417382400430718	0.0623867265691886	0.393045798514997	0.381938834905607	0.440657664997968	0.249089609951937	0.255095338810988	0.216950373190508	0.11426862842959	0.367840973093569	0.90195444844684	0.110812445320133	0.924133501321672	0.85293167267026	0.962066750660836	0.657026577690334	0.148035942329955	0.596492175147261	0.572671719837071	0.711114234272061	0.277550321240545	0.0254198675110294	0.26495604656688	0.262921249007808	0.285882256136449	0.408341922195596	0.0481989720753192	0.397651666956441	0.382018619806914	0.429320096964701	0.326994227966026	0.125962344313597	0.368044473851912	0.276836035202077	0.397677543672919
10	1_FR_FF	21	3	0.570043037594171	0.0770425891771147	0.575254268742429	0.532890699920734	0.609800990841737	0.577465288092215	0.0908792384649971	0.571443523890133	0.53059510370808	0.621324590375308	0.487735101159964	0.492852263343607	0.446292797171036	0.231602651739946	0.723146398585518	0.250088114460158	0.0853383595521904	0.270274110296245	0.213370305122088	0.296898921716271	0.572425951723602	0.0816905904158507	0.541010042190077	0.526058557737606	0.603085390942836	0.367651648370862	0.0634954918754219	0.396198215536335	0.345545779942508	0.404030800381952	0.365428923575965	0.0151224577829622	0.357777724539422	0.356719376536422	0.370312871097236	0.501174100168856	0.0481714674877743	0.48129087047067	0.473708942550858	0.518697642937761	0.596205283249873	0.114712506210576	0.607930621430646	0.54200552640316	0.656267709186973	0.682024264927422	0.0338080140464975	0.681186735207625	0.664914766212781	0.698714998782165	0.537618235916997	0.129000629506251	0.544760100393408	0.474977566536096	0.603829837536104	0.343478631019274	0.0998405445817096	0.345490181626574	0.294068845955425	0.393894191386774	0.643424767905763	0.239804989721323	0.686160939482775	0.535642942482968	0.772574679117064	0.605560003927834	0.168822592171021	0.542152416446679	0.509886938163091	0.669529275951999
