mouse	sampleID	plate	sampleID2	group_ID	group_sort	day	diet	day_of_diet	B_theta	B_ovatus	B_uniformis	B_caccae	B_intestihominis	E_rectale	B_formatexigens	R_intestinalis	F_prausnitzii	E_coli	D_piger	C_aerofaciens	A_muciniphila	C_symbiosum	N	mean.B_theta	max.B_theta	mean.B_intestihominis	max.B_intestihominis	max.R_intestinalis	mean.R_intestinalis	max.C_aerofaciens	mean.C_aerofaciens	max.B_caccae	mean.B_caccae	max.B_formatexigens	mean.B_formatexigens	max.D_piger	mean.D_piger	max.B_ovatus	mean.B_ovatus	max.F_prausnitzii	mean.F_prausnitzii	max.A_muciniphila	mean.A_muciniphila	max.B_uniformis	mean.B_uniformis	max.C_symbiosum	mean.C_symbiosum	max.E_coli	mean.E_coli	max.E_rectale	mean.E_rectale
1	15OCT_01_pl1	1	15OCT01_pl1	FF	1	6	FF	FR	13.6655713764147	26.2796641109894	6.50237312887915	4.47973713033954	1.33260313983206	0	13.8116100766703	0	0	8.02847754654984	2.04819277108434	2.19788243884629	19.9306316173786	1.7232566630157	28	7.48282866319634	15.2148725510849	1.77696847990188	3.54381292779218	2.08092485549133	0.659038024103314	18.7249313911759	3.28613084834789	27.8928302918461	17.2042503071053	13.8116100766703	3.09125701897466	6.52661818834725	4.38658019152761	26.2796641109894	5.13809745616478	3.34733844925171	1.81179226190654	45.8273534258226	34.1789417138283	14.7708848877891	9.84867393435001	5.13559498593701	2.96660419888569	11.2064290292363	6.44713028131321	16.1944385927954	1.72170662039445
1	28OCT_01_plr	r	28OCT_01_plr	FF	1	19	FF	FF	4.96941197954711	1.59559897735573	10.6966764061359	17.7547479912345	1.70745069393718	0.143809349890431	2.12289992695398	0.568389335281227	1.14590942293645	5.35062089116143	5.35062089116143	5.37116508400292	40.9970781592403	2.22562089116143	28	7.48282866319634	15.2148725510849	1.77696847990188	3.54381292779218	2.08092485549133	0.659038024103314	18.7249313911759	3.28613084834789	27.8928302918461	17.2042503071053	13.8116100766703	3.09125701897466	6.52661818834725	4.38658019152761	26.2796641109894	5.13809745616478	3.34733844925171	1.81179226190654	45.8273534258226	34.1789417138283	14.7708848877891	9.84867393435001	5.13559498593701	2.96660419888569	11.2064290292363	6.44713028131321	16.1944385927954	1.72170662039445
1	04NOV_01_pl1	1	04NOV01_pl1	FF	1	26	FF	FF	6.21213414113832	2.05648946155815	14.7708848877891	19.8054441505248	1.70663025855448	0.0341326051710897	0.77651676764229	0.691185254714566	1.7322297124328	8.0126290639133	5.75134397132861	1.67249765338339	33.0830275620787	3.69485450977046	28	7.48282866319634	15.2148725510849	1.77696847990188	3.54381292779218	2.08092485549133	0.659038024103314	18.7249313911759	3.28613084834789	27.8928302918461	17.2042503071053	13.8116100766703	3.09125701897466	6.52661818834725	4.38658019152761	26.2796641109894	5.13809745616478	3.34733844925171	1.81179226190654	45.8273534258226	34.1789417138283	14.7708848877891	9.84867393435001	5.13559498593701	2.96660419888569	11.2064290292363	6.44713028131321	16.1944385927954	1.72170662039445
1	01NOV_01_pl1	1	01NOV01_pl1	FF	1	23	FF	FF	6.1990355107409	2.62165716790881	12.1613327487944	19.8071021481806	1.5256466462078	1.20122753178431	2.10434020166594	1.36782113108286	1.62209557211749	7.51424813678211	4.48049101271372	2.38491889522139	33.4765453748356	3.53353792196405	28	7.48282866319634	15.2148725510849	1.77696847990188	3.54381292779218	2.08092485549133	0.659038024103314	18.7249313911759	3.28613084834789	27.8928302918461	17.2042503071053	13.8116100766703	3.09125701897466	6.52661818834725	4.38658019152761	26.2796641109894	5.13809745616478	3.34733844925171	1.81179226190654	45.8273534258226	34.1789417138283	14.7708848877891	9.84867393435001	5.13559498593701	2.96660419888569	11.2064290292363	6.44713028131321	16.1944385927954	1.72170662039445
1	17OCT_01_pl1	1	17OCT01_pl1	FF	1	8	FF	FR	15.2148725510849	20.5129555508742	3.83926690541395	3.72340425531915	0.984832525805772	16.1944385927954	9.71666315567727	0	0	8.32104487044449	2.29618706551506	0.784706130187487	17.2740678323151	1.13756056456709	28	7.48282866319634	15.2148725510849	1.77696847990188	3.54381292779218	2.08092485549133	0.659038024103314	18.7249313911759	3.28613084834789	27.8928302918461	17.2042503071053	13.8116100766703	3.09125701897466	6.52661818834725	4.38658019152761	26.2796641109894	5.13809745616478	3.34733844925171	1.81179226190654	45.8273534258226	34.1789417138283	14.7708848877891	9.84867393435001	5.13559498593701	2.96660419888569	11.2064290292363	6.44713028131321	16.1944385927954	1.72170662039445
1	29OCT_01_pl1	1	29OCT01_pl1	FF	1	20	FF	FF	6.85691636940151	3.21046373365042	11.4783987316686	19.3896155370591	2.47324613555291	1.2128418549346	2.14823622671423	0.975029726516052	2.37019421323821	9.38565200158541	4.81173206500198	1.76773682124455	30.7966706302021	3.12326595323028	28	7.48282866319634	15.2148725510849	1.77696847990188	3.54381292779218	2.08092485549133	0.659038024103314	18.7249313911759	3.28613084834789	27.8928302918461	17.2042503071053	13.8116100766703	3.09125701897466	6.52661818834725	4.38658019152761	26.2796641109894	5.13809745616478	3.34733844925171	1.81179226190654	45.8273534258226	34.1789417138283	14.7708848877891	9.84867393435001	5.13559498593701	2.96660419888569	11.2064290292363	6.44713028131321	16.1944385927954	1.72170662039445
1	20NOV_01_pl2	2	20NOV_01	FF	1	42	FF	FF	8.84478131359306	3.27071106261244	8.77989795617424	25.1540979738697	1.15610345946265	0.0855280620520836	1.04698144925827	0.696021470492819	0.849382133482762	6.11968030200254	4.44745922670835	2.51275547821984	34.2023770902763	2.83422302179491	28	7.48282866319634	15.2148725510849	1.77696847990188	3.54381292779218	2.08092485549133	0.659038024103314	18.7249313911759	3.28613084834789	27.8928302918461	17.2042503071053	13.8116100766703	3.09125701897466	6.52661818834725	4.38658019152761	26.2796641109894	5.13809745616478	3.34733844925171	1.81179226190654	45.8273534258226	34.1789417138283	14.7708848877891	9.84867393435001	5.13559498593701	2.96660419888569	11.2064290292363	6.44713028131321	16.1944385927954	1.72170662039445
1	02NOV_01_pl1	1	02NOV01_pl1	FF	1	24	FF	FF	10.0660066006601	1.60891089108911	10.8292079207921	22.256600660066	1.0519801980198	0.226897689768977	0.742574257425743	0.701320132013201	1.56765676567657	4.7029702970297	3.34158415841584	0.618811881188119	40.6765676567657	1.60891089108911	28	7.48282866319634	15.2148725510849	1.77696847990188	3.54381292779218	2.08092485549133	0.659038024103314	18.7249313911759	3.28613084834789	27.8928302918461	17.2042503071053	13.8116100766703	3.09125701897466	6.52661818834725	4.38658019152761	26.2796641109894	5.13809745616478	3.34733844925171	1.81179226190654	45.8273534258226	34.1789417138283	14.7708848877891	9.84867393435001	5.13559498593701	2.96660419888569	11.2064290292363	6.44713028131321	16.1944385927954	1.72170662039445
1	22OCT_01_pl1	1	22OCT01_pl1	FF	1	13	FF	FR	9.75465084928552	16.9263952547857	6.50310056619035	2.9711512537072	1.00296575896468	16.079805877595	12.2351038015638	0.00539228902669183	0.846589377190617	8.91884605014829	1.80641682394176	0.981396602857913	21.0568886492316	0.911296845510919	28	7.48282866319634	15.2148725510849	1.77696847990188	3.54381292779218	2.08092485549133	0.659038024103314	18.7249313911759	3.28613084834789	27.8928302918461	17.2042503071053	13.8116100766703	3.09125701897466	6.52661818834725	4.38658019152761	26.2796641109894	5.13809745616478	3.34733844925171	1.81179226190654	45.8273534258226	34.1789417138283	14.7708848877891	9.84867393435001	5.13559498593701	2.96660419888569	11.2064290292363	6.44713028131321	16.1944385927954	1.72170662039445
1	30OCT_01_pl1	1	30OCT01_pl1	FF	1	21	FF	FF	3.79987333755542	1.45661811272958	8.59193582436141	10.6185349377243	1.07663077897403	0.759974667511083	8.84526071353177	0.105552037154317	0.80219548237281	2.53324889170361	2.11104074308634	18.7249313911759	38.9698121173739	1.60439096474562	28	7.48282866319634	15.2148725510849	1.77696847990188	3.54381292779218	2.08092485549133	0.659038024103314	18.7249313911759	3.28613084834789	27.8928302918461	17.2042503071053	13.8116100766703	3.09125701897466	6.52661818834725	4.38658019152761	26.2796641109894	5.13809745616478	3.34733844925171	1.81179226190654	45.8273534258226	34.1789417138283	14.7708848877891	9.84867393435001	5.13559498593701	2.96660419888569	11.2064290292363	6.44713028131321	16.1944385927954	1.72170662039445
