	sampleID	mouse	day_of_diet	day	experiment	cage	sex	B_theta	B_ovatus	B_uniformis	B_caccae	B_intestihominis	E_rectale	C_symbiosum	B_formatexigens	R_intestinalis	F_prausnitzii	E_coli	D_piger	C_aerofaciens	A_muciniphila	cagegroup
1	01_Jun_01	1	FF	22	exp2	c5	male	3.71499056740676	1.99293764814009	11.5658104774343	15.8515938663958	1.2867024621487	0.00483722730131089	4.22773666134572	1.25284187103952	1.34474918976443	1.94456537512698	5.10327480288299	4.97266966574759	4.44541188990471	42.2918782953611	FF_c5
2	01_Jun_02	2	FF	22	exp2	c5	male	3.77908076413845	1.63797995082277	12.2451295630793	17.2990353697749	1.21051636088519	0	4.07036126347645	1.01380745224135	1.54719122375638	1.19160204274636	4.57348212596936	5.21278607906185	3.63533194628334	42.5836958577643	FF_c5
3	01_Jun_03	3	FF	22	exp2	c5	male	3.18167150693772	1.34236850596967	9.29977412068409	15.6050338818974	0.935785737334624	0	2.83317199096483	1.69086802194256	1.59406260083898	1.1487576637625	4.74991932881575	5.28557599225557	3.20748628589868	49.1255243626976	FF_c5
4	01_Jun_04	4	FF	22	exp2	c6	male	3.87547649301144	1.94062608293866	11.8343537022063	16.4202379577221	1.65761811251011	0	3.85237380154788	1.63451542104655	0.641099688113665	1.20133995610489	5.79299988448654	5.45801085826499	4.53967887258866	41.1516691694582	FF_c6
5	01_Jun_05	5	FF	22	exp2	c6	male	3.62809392849588	1.98328749735562	12.1641633171144	14.9566321133912	2.1525280304633	0	3.70213666173048	1.25343769832875	0.846202665538397	1.68711656441718	5.94986249206685	5.34165432621113	4.024751427967	42.3101332769198	FF_c6
6	01_Jun_06	6	FF	22	exp2	c6	male	4.4644475321694	1.73986588533801	8.09520932761433	15.1754968887815	1.51634144868	0	1.91506071406996	1.05116897239171	0.966592158521114	1.28073461004048	7.46692442457561	4.38591191928955	4.69401316981816	47.2482329487102	FF_c6
7	01_Jun_07	7	FF	22	exp2	c6	male	2.82200706648924	1.85380626806773	12.0313862249346	13.7291790942046	1.63814068737668	0	3.95998715183775	2.17042169503969	1.70697012802276	0	6.91506447024274	5.54306428669756	6.13040884687744	41.4903868214564	FF_c6
8	01_Jun_08	8	FR	22	exp2	c7	male	12.7741001241208	15.6805957798924	10.0899875879189	3.10302027306578	1.16880430285478	21.3642945800579	0.811956971452213	6.10260653702938	0.889532478278858	2.42035581299131	5.26996276375672	2.32726520479934	1.74803475382706	16.2494828299545	FR_c7
9	01_Jun_09	9	FR	22	exp2	c8	male	12.5007832570963	16.9872799047559	6.09687323767153	2.95131273889341	1.48505545460242	10.2450028197255	0.902312174948305	4.38623973933204	7.6195250328968	3.49019362115421	6.52296509806379	1.82342252020803	1.27200952440629	23.7170248762454	FR_c8
10	01_Jun_10	10	FR	22	exp2	c9	male	13.3191024622716	21.1675933280381	7.33220810166799	3.28633836378078	0.928316123907863	17.4940428911835	1.06235107227959	5.79328832406672	0.0943208895949166	2.52680698967434	5.82307386814932	3.14237490071485	1.22617156473392	16.8040111199365	FR_c9
